session,modelname_new,body_mass_kg,height_m,rta_mass_kg,rta_length_m,rta_depth_radius_m,rta_shoulder_radius_m,rta_ixx_kg_m2,rta_iyy_kg_m2,rta_izz_kg_m2,rta_izz_frame_mean_kg_m2,rta_izz_frame_sd_kg_m2,rta_izz_frame_range_kg_m2,rta_izz_max_frame_deviation_pct,rta_izz_mean_coordinate_difference_pct,max_static_marker_spread_m,izz_pred_constant_kz_loocv,izz_ape_constant_kz_loocv_pct,izz_pred_mass_height_sq_loocv,izz_ape_mass_height_sq_loocv_pct,izz_pred_mass_power_loocv,izz_ape_mass_power_loocv_pct,izz_pred_mass_height_power_loocv,izz_ape_mass_height_power_loocv_pct,izz_pred_mass_height_both_power_loocv,izz_ape_mass_height_both_power_loocv_pct
1665,000616_001665_model.c3d,106.596,2.032,37.84158,0.28468925729998434,0.08502992890356077,0.14979180293236785,0.3239814428980465,0.4678503564977355,0.2806679056426482,0.2806679666648674,7.614900560244446e-05,0.00019469955712497766,0.05139397909818442,-2.17417873364866e-05,0.00046636375972312395,0.265039358615483,5.568341343261304,0.31535068506700764,12.357230280728363,0.285836275952446,1.8414539767073492,0.27273638555164303,2.825944802218939,0.28227188215792876,0.57148554680946
1668,000986_001668_model.c3d,81.648,1.8542,28.985039999999998,0.24257490630215867,0.07886617510444945,0.15776204028454552,0.18720037816125382,0.3224807175457022,0.22542198157638527,0.22542200006983554,6.410876847815176e-05,0.00019078800231592252,0.04241579993072394,-8.20392498630193e-06,0.00014209892336639724,0.2029926723980244,9.949921042088164,0.2005035250668712,11.05413781533561,0.1868482405970594,17.111792164001972,0.19852822573714682,11.930405212113431,0.1861786248746508,17.40884204251246
1688,000511_001688_model.c3d,106.596,1.9812,37.84158,0.28992679456398607,0.08455682419212847,0.15542746552954598,0.3327129967954518,0.4936138862445764,0.2961818231460886,0.29618191939737876,8.280667239707265e-05,0.0002608947701163711,0.05470436517021393,-3.2497365685016025e-05,0.00046211104371561784,0.26482495588603056,10.587032967445674,0.29919834658442607,1.018470143203083,0.2853134247386792,3.66950216321974,0.2683231030661496,9.40595198720145,0.28285407084573305,4.499854906282271
1717,000922_001717_model.c3d,103.4208,1.9304,36.714383999999995,0.24039138490429363,0.08193977124700688,0.17189006073591398,0.23843054116759801,0.44799685879197626,0.3328188197747926,0.3328188728334431,6.482364596916893e-05,0.00016664356211337772,0.02948897119043123,-1.5942202580109074e-05,0.0003036029280097061,0.2563703066370333,22.97000908466939,0.27468457505166405,17.467234804349722,0.2709233392552406,18.59734992192888,0.25612271481456966,23.044401459064314,0.2696628977082788,18.976066951156586
1718,001000_001718_model.c3d,97.524,1.905,34.62102,0.22156887421127386,0.08225716066329947,0.16836468379655553,0.20020033959973105,0.38698443197117965,0.3039111658696074,0.3039111814095273,1.528722018379761e-05,4.537284655503626e-05,0.009479784483240479,-5.113309939258331e-06,0.0002651598180696115,0.24197098564322922,20.381014974933017,0.25239787517202694,16.95011453435119,0.2474591100108819,18.575183210920983,0.24020649654056106,20.961608681524634,0.24658127553779033,18.86402895654528
1729,001003_001729_model.c3d,105.6888,2.0066,37.519524,0.2917752133221504,0.08793993483725794,0.14141487986689114,0.3387171064284049,0.4537588716233454,0.26011911156913015,0.2601191456205358,5.8722875676809565e-05,0.00015495075650456824,0.033014129246420186,-1.3090697347919698e-05,0.00019289344394814504,0.2630339952033596,1.1205957211855277,0.30506218815238423,17.277883317431623,0.28254911585336223,8.622974355450623,0.26952308961200916,3.615258404563549,0.28011286423112136,7.68638357304154
1759,001017_001759_model.c3d,79.38,1.8034,28.179899999999996,0.24276541289806214,0.07963849819417236,0.15046941086649065,0.18307991846529525,0.29790422737419886,0.2041868634546247,0.20418688755529527,4.1623311559992863e-05,0.00011785340964065583,0.03527555152401139,-1.1803242462610297e-05,0.000159450976111732,0.1974776663033756,3.285812337648276,0.18444767698631065,9.667216653582896,0.1787693788962195,12.448148783113849,0.1900604808132246,6.91836017381173,0.17898172622139938,12.344152217621245
1778,000610_001778_model.c3d,88.452,1.8034,31.40046,0.24182482356692397,0.09044056638625186,0.1330795640939236,0.2172329181758085,0.2920498077029837,0.203236858769043,0.20323686513356282,2.526459435851285e-05,9.111480833370877e-05,0.033465785814345755,-3.131577542763034e-06,0.00020847575872462006,0.22026286278590185,8.377419391335454,0.20569319353411553,1.2086069327925897,0.2128512595549832,4.7306383518089925,0.2121336178373649,4.377532265656657,0.21381467525656964,5.204674266072576
1779,000560_001779_model.c3d,103.4208,2.0066,36.714383999999995,0.2523859126397268,0.08497730912188312,0.133721715104736,0.2611680095205258,0.35901509233257184,0.23040699252666175,0.23040702090823711,4.714969471851544e-05,0.00015254889041582675,0.04055041792533556,-1.2318018240865659e-05,0.000100914915032611,0.25770149901132783,11.846214468299035,0.29890447118270086,29.72890618678288,0.27352949834586715,18.71579735767587,0.2651999801014741,15.100664781597834,0.27180505721481046,17.96736472021712
1782,001027_001782_model.c3d,97.524,1.8288,34.62102,0.2636821795644819,0.08643380416189339,0.14461653908746538,0.2652567325136986,0.38161054479415046,0.2456772136975569,0.24567722806045686,2.2865223223039878e-05,8.232060069698899e-05,0.024713087023094913,-5.846248309537987e-06,0.00017938445406070583,0.24264310941390188,1.2349962123024507,0.23306724077268212,5.13274012477136,0.248262981415003,1.0525061231886663,0.23548532592565827,4.148487203394228,0.24940133137724127,1.515857992540151
