user,session_pitch,session_mass_kg,session_height_m,age_yrs,pitch_speed_mph,lead_knee_extension_angular_velo_max,lead_knee_velo_peak_reconstructed,lead_knee_velo_peak_time,trunk_flexion_velo_peak_fp_br,trunk_flexion_velo_peak_time,trunk_flexion_velo_peak_after_knee_peak,trunk_flexion_peak_after_knee_peak_time,knee_peak_precedes_trunk_peak,knee_to_trunk_peak_ms
1691,3248_2,81.1944,1.8288,24.02,90.6,425.777,279.976,1.875,465.3773,1.8667,449.5797,1.875,0.0,-8.299999999999974
1691,3248_3,81.1944,1.8288,24.02,91.1,514.1619,406.5631,1.8,458.5924,1.7917,442.5259,1.8,0.0,-8.299999999999974
1691,3248_4,81.1944,1.8288,24.02,91.4,459.4023,424.2599,1.7694,470.6795,1.7583,442.1924,1.7694,0.0,-11.10000000000011
1691,3248_5,81.1944,1.8288,24.02,90.5,358.6138,287.9693,1.8611,473.0077,1.85,443.396,1.8611,0.0,-11.099999999999888
782,3250_1,83.4624,1.8796,23.13,90.0,208.5688,208.5688,1.475,458.6262,1.4806,458.6262,1.4806,1.0,5.599999999999827
782,3250_2,83.4624,1.8796,23.13,90.4,211.8444,211.8444,1.3139,468.457,1.3111,468.4477,1.3139,0.0,-2.8000000000001357
782,3250_3,83.4624,1.8796,23.13,89.5,216.8864,216.8864,1.475,480.2669,1.4806,480.2669,1.4806,1.0,5.599999999999827
782,3250_4,83.4624,1.8796,23.13,89.2,234.7238,234.7238,1.3389,443.4248,1.3556,443.4248,1.3556,1.0,16.69999999999994
870,3252_1,88.452,1.8796,20.38,80.8,199.1849,199.1849,1.9139,294.1013,1.9167,294.1013,1.9167,1.0,2.8000000000001357
870,3252_2,88.452,1.8796,20.38,80.8,203.0749,203.0749,1.6722,287.5587,1.6722,287.5587,1.6722,1.0,0.0
870,3252_3,88.452,1.8796,20.38,80.8,219.9173,219.9173,1.6889,315.0603,1.6889,315.0603,1.6889,1.0,0.0
870,3252_4,88.452,1.8796,20.38,83.3,224.8399,224.8399,1.3694,303.6527,1.4444,303.6527,1.4444,1.0,74.99999999999996
870,3252_5,88.452,1.8796,20.38,81.2,195.31,193.6355,1.4917,303.5481,1.5778,303.5481,1.5778,1.0,86.10000000000007
