session_pitch,pitch_speed_mph,session_height_m,p_throws,fp_poi_time,BR_time,n_frames,sjm,sjm_x,sjm_y,sjm_z,fp_local_x,fp_local_y,fp_local_z,br_local_x,br_local_y,br_local_z,pattern,peak_disp_m,peak_tau,final_disp_m,max_disp_norm_height,final_disp_norm_height,late_extra_norm_height,recovery_ratio
1601_3,86.2,1.8542,R,1.2667,1.4139,54,0.07150466464957521,0.03537776117295307,0.03261077328357613,0.05289488204812353,-1.5445478640857357e-17,0.1381483984848366,0.6222134581444496,-3.964642453768877e-18,0.16402672602903554,0.4768557047453619,late_pull,0.15627449802201837,0.8865489130434787,0.14764336866149746,0.08428136016719791,0.07962645273514048,0.02677354352504459,0.05523056845336863
1603_1,85.0,1.7526,L,1.1417,1.2194,29,0.020903155482207232,0.0026168284632599676,0.014890410039685073,0.014435020150912454,7.408577519349139e-17,-0.16060313474477805,0.522629391261294,-1.2068048429306033e-16,-0.17682830908720976,0.4429554849026686,late_pull,0.08130921003727264,1.0,0.08130921003727264,0.04639347828213662,0.04639347828213662,0.009559854742598132,0.0
1603_2,85.6,1.7526,L,1.1194,1.2,30,0.020752428571254082,0.00286442006139488,0.015322387808471762,0.013699737996169024,-1.7114053139118792e-17,-0.1604676039239182,0.5235879301425086,1.9264137685064228e-17,-0.17726130418511843,0.4441967526204924,late_pull,0.08114793550544169,1.0,0.08114793550544169,0.04630145812247044,0.04630145812247044,0.012980246166417192,0.0
1603_3,85.1,1.7526,L,1.3,1.3722,27,0.016938803684815668,0.002728746356312652,0.011423793487654989,0.012205488763136312,2.951525520811803e-17,-0.1637588945278205,0.512943631857367,1.3261598729740352e-17,-0.17621442256402892,0.44096036078135853,mixed,0.07305293624121412,1.0,0.07305293624121412,0.04168260655096093,0.04168260655096093,0.006964584675852185,0.0
1612_1,86.4,1.8034,R,1.1167,1.2444,47,0.06664537844871218,0.03032551118692506,0.04508100983271591,0.0385962743316803,-1.4804944332516203e-17,0.13999667655356862,0.5922987384369103,1.3855038801879263e-16,0.16358625831317664,0.4790862877301903,late_pull,0.11564396812032494,1.0,0.11564396812032494,0.06412552296790781,0.06412552296790781,0.025230210857204657,0.0
1612_2,85.8,1.8034,R,1.0861,1.2111,46,0.06306857324597819,0.02780416513217277,0.04262594491212675,0.03725053225035205,-4.6866421893897066e-18,0.13940579752559773,0.5915090266566118,-4.278304435427576e-17,0.16279680980258412,0.48414801581551603,late_pull,0.1098795982162476,1.0,0.1098795982162476,0.060929132869162475,0.060929132869162475,0.018352545121569145,0.0
1612_3,84.6,1.8034,R,0.9444,1.0722,47,0.06503792721750402,0.029086668323280836,0.044715711504590375,0.037207564381978114,3.054588608092751e-17,0.1390278291381922,0.5919189747973296,1.8944848503252427e-17,0.16253022913037268,0.48162888162861306,late_pull,0.11283533548933683,0.9780907668231601,0.11276642876564201,0.06256811328010249,0.06252990394013642,0.0214517534147791,0.0006106839085113696
1615_1,85.4,1.778,R,1.0528,1.1806,47,0.07970534172095518,0.023876397773945193,0.055140738085439026,0.05236752936302796,1.2458815422640292e-17,0.1506525787962874,0.5797336332334261,-7.68599403295882e-17,0.18481003811883126,0.4211400655488814,late_pull,0.16368611815864478,0.9561815336463221,0.16223024298287755,0.09206193372252237,0.09124310628958243,0.03498400845040552,0.008894310599730842
1615_2,84.4,1.778,R,1.2306,1.3361,39,0.054459692679088414,0.013256720578495081,0.03752489974703028,0.03717525232166942,2.0023593726482685e-17,0.16675882287128327,0.5492540259247848,1.4110232798801853e-17,0.18393617338714877,0.4225525164044025,late_pull,0.13283643359277544,0.894786729857819,0.12786060333616617,0.07471115500156099,0.07191260030155577,0.02111955369556742,0.03745832466312086
1620_1,85.0,1.8542,L,1.3389,1.4778,51,0.0725411973502575,0.03854914478798367,0.046234104078767026,0.04047957965638743,1.0815699550432034e-17,-0.14087646391258607,0.5828875937223966,-6.493531618483271e-17,-0.17465767982671956,0.467500820723929,late_pull,0.12023010409892025,1.0,0.12023010409892025,0.06484203651112083,0.06484203651112083,0.028051210657367473,0.0
1620_3,84.6,1.8542,L,1.3139,1.4528,51,0.07499108209089123,0.03934729471552767,0.04875172690443124,0.041215554291650004,-2.7874591667793434e-17,-0.14113090073396742,0.5792505967696703,8.859524093022554e-18,-0.1734572403595271,0.46725807191193325,late_pull,0.11656465097789243,1.0,0.11656465097789243,0.06286519845641916,0.06286519845641916,0.027763011367876494,0.0
1623_1,85.8,1.7526,R,1.5083,1.6528,53,0.08371501212289409,0.048274286833863284,0.04273207292563283,0.05340193281985769,3.44222155275172e-18,0.13633331246786126,0.5769126930580922,1.667869432775297e-17,0.16685895448347304,0.46853212462827165,late_pull,0.11533559274927893,0.8463667820069205,0.11259734647688775,0.06580828069683838,0.06424588980765021,0.02898001838736019,0.023741554598359648
1623_2,85.7,1.7526,R,1.8278,1.9694,52,0.08175895116698116,0.044574839117660796,0.03746194319709757,0.05739523173101492,1.1422745580033232e-17,0.1349831794904804,0.5762966651427377,-6.275941727978884e-17,0.16699763724422137,0.46879213320494995,late_pull,0.1143257876682289,0.8432203389830508,0.11217018272441608,0.0652321052540391,0.06400215835011759,0.023271045176272143,0.018854931925493017
