session_pitch,duration_s,stp_energy_j,mean_power_w,session,session_mass_kg
2905_5,0.08050000000000013,104.40096994000014,1296.9064588819872,2905,99.3384
2907_1,0.0526000000000002,41.251273325000184,784.2447400190119,2907,82.5552
2907_2,0.05009999999999981,43.40611095999981,866.3894403193607,2907,82.5552
2907_3,0.04719999999999991,39.22783170500004,831.0981293432228,2907,82.5552
2907_4,0.04719999999999991,39.18108088999989,830.1076459745756,2907,82.5552
2907_5,0.03610000000000002,30.818859160000017,853.7080099722991,2907,82.5552
2916_1,0.0696,97.36078086000015,1398.8617939655194,2916,86.6376
2916_2,0.05289999999999995,71.25923244500001,1347.0554337429128,2916,86.6376
2916_3,0.044400000000000106,62.30825964000021,1403.3391810810824,2916,86.6376
2916_4,0.038900000000000046,42.26802860000006,1086.5817120822624,2916,86.6376
2916_5,0.03880000000000006,48.41951302000012,1247.9255932989702,2916,86.6376
2918_1,0.044500000000000206,53.0955889400002,1193.159302022471,2918,100.2456
2918_2,0.05279999999999996,74.1944731550001,1405.1983552083364,2918,100.2456
2918_3,0.050000000000000044,61.013464735000035,1220.2692946999996,2918,100.2456
2918_4,0.04999999999999982,65.95797860999967,1319.1595721999981,2918,100.2456
2918_5,0.04160000000000008,53.83577833000013,1294.1292867788468,2918,100.2456
2919_1,0.14159999999999995,161.5523470349999,1140.9064056144066,2919,84.8232
2919_2,0.11939999999999995,150.24861843,1258.3636384422116,2919,84.8232
2919_3,0.11099999999999999,114.06419242500013,1027.6053371621636,2919,84.8232
