session_pitch,pitcher,pkh_time,fp_poi_time,pkh_fp_duration,pelvis_angle_z_pkh,pelvis_angle_z_fp,zero_crossing_count,first_zero_crossing_from_fp,stable_zero_crossing_from_fp,stable_zero_crossing_phase_pct,pitch_speed_mph
2989_1,2989,0.5361,1.1444,0.6083000000000001,-40.1236,27.0771,1,-0.04000133435976405,-0.04000133435976405,93.42407786293538,80.5
2989_2,2989,0.4833,1.125,0.6416999999999999,-44.1055,35.699,1,-0.0567602152852531,-0.0567602152852531,91.15471165883542,80.9
2989_3,2989,0.4778,1.0778,0.6000000000000001,-43.5239,28.5933,1,-0.04610023196810453,-0.04610023196810453,92.31662800531592,80.8
2989_4,2989,0.5194,1.15,0.6305999999999999,-43.7672,34.287,1,-0.053487763949098044,-0.053487763949098044,91.51795687454836,81.4
2989_5,2989,0.4139,1.0278,0.6139000000000001,-46.9845,33.8505,1,-0.051540683106949814,-0.051540683106949814,91.60438457290279,81.2
2990_2,2990,0.5,1.1222,0.6222000000000001,-24.7517,29.3054,1,-0.07145694428356308,-0.07145694428356308,88.51543807721583,81.8
2990_3,2990,0.4083,1.0306,0.6223,-27.0493,34.3871,1,-0.07924914992272025,-0.07924914992272025,87.26512133653861,81.6
2990_4,2990,0.4306,0.9889,0.5583,-28.168,12.5787,1,-0.03394058667949029,-0.03394058667949029,93.92072601119644,81.4
2990_5,2990,0.4056,0.9722,0.5666,-26.6834,21.5915,1,-0.06120337078651683,-0.06120337078651683,89.19813434759672,81.4
2993_1,2993,0.6472,1.475,0.8278000000000001,-43.771,57.9129,1,-0.21211015992474125,-0.21211015992474125,74.37664170998536,91.3
2993_2,2993,0.7056,1.5778,0.8722000000000001,-43.6168,44.6439,1,-0.22101043478260873,-0.22101043478260873,74.66057844730466,90.9
2993_3,2993,0.6972,1.4972,0.8,-48.977,47.3362,1,-0.15222321366329727,-0.15222321366329727,80.97209829208785,91.6
2993_4,2993,0.7222,1.5167,0.7945,-46.2445,45.8764,1,-0.1791590003904724,-0.1791590003904724,77.45009434984614,90.6
