session_pitch,marker_used,pitch_speed_mph,session_height_m,fp_poi_time,br_time_c3d_end,n_frames,sjm,sjm_x,sjm_y,sjm_z
2815_3,LSHO,89.6,1.905,1.5167,1.6833,59,0.09637936476871849,0.05417018497874415,0.05450278470482764,0.058172325654124765
2815_4,LSHO,89.6,1.905,1.5472,1.6778,48,0.06868079677234028,0.02470709025489742,0.04042340768362311,0.04972483934276167
2815_5,LSHO,89.6,1.905,1.6694,1.8111,51,0.07547747809195218,0.03371006241441221,0.046275144977274106,0.04918426931926321
2818_1,LSHO,86.7,1.9558,1.2583,1.3861,46,0.07212713887303283,0.026793902014538323,0.0494186921206844,0.04519074956145436
2818_2,LSHO,85.8,1.9558,1.1194,1.2444,45,0.07048090492976465,0.029532055087113842,0.04668172818331557,0.04377478653139541
2818_3,LSHO,86.3,1.9558,1.1111,1.2361,45,0.072611035165826,0.02877464610807161,0.04931381884549415,0.04486122423743967
2818_4,LSHO,85.8,1.9558,1.1,1.2306,48,0.0783531773513836,0.035577568808475124,0.05458786118192243,0.04351577197199604
2818_5,LSHO,85.8,1.9558,1.1833,1.3139,48,0.07931245499955121,0.03654102083663463,0.0526771305055564,0.046694102796531495
2833_1,LSHO,85.5,1.8034,1.125,1.2889,60,0.08642054576348618,0.061967677651083415,0.05191185647737625,0.030556125632391906
2833_2,LSHO,85.9,1.8034,1.0556,1.2111,55,0.07650295040033127,0.05246693600119742,0.04533724121462188,0.032318053865432426
2833_3,LSHO,85.2,1.8034,1.0444,1.2056,59,0.08380981564185784,0.05739095125855403,0.05170927698627193,0.03250407028538861
2833_4,LSHO,85.8,1.8034,1.1889,1.3417,55,0.07787878380838421,0.051256937954560725,0.0470068808280177,0.035045462385534326
2833_5,LSHO,85.4,1.8034,1.3417,1.4889,53,0.06703493645085763,0.04340934807618079,0.0442287901995278,0.025556316676267246
2840_1,RSHO,82.1,1.9304,1.3194,1.4417,45,0.037623864050916174,0.016063784407403723,0.03084653664030632,0.014352740293495031
2840_2,RSHO,82.3,1.9304,1.4194,1.5472,46,0.04252674251842287,0.01862774761942682,0.03416136672811832,0.0171619308681216
2840_4,RSHO,81.9,1.9304,1.5083,1.625,43,0.03442456446359579,0.014429446447529295,0.027540906181955576,0.014776339208439541
2840_5,RSHO,81.5,1.9304,1.475,1.5972,44,0.03799606575132398,0.018263431767906377,0.028799058738510477,0.01675596277191454
2843_1,LSHO,86.9,1.778,1.1528,1.2694,41,0.054413411919515146,0.009971487482485237,0.027753316870473138,0.04572900870122361
2843_2,LSHO,85.8,1.778,0.9833,1.1028,44,0.06291205038334069,0.01514229389801254,0.03022867381395613,0.053055294725330215
2843_3,LSHO,86.3,1.778,1.0639,1.1944,46,0.06948568216254124,0.019755848805149835,0.03851817386104831,0.05435362679703918
2843_4,LSHO,85.3,1.778,1.0361,1.1667,48,0.07067613861719817,0.022585562728973947,0.03941275679732919,0.05414465373134799
2843_5,LSHO,86.2,1.778,1.0167,1.1472,46,0.07012518724995753,0.02376500166667403,0.03784630845894905,0.05404094298450637
2853_1,LSHO,82.4,1.778,1.3222,1.4722,54,0.08724363669123725,0.05667207382580046,0.053173303302040835,0.039652591432903776
2853_3,LSHO,83.8,1.778,1.5083,1.6611,55,0.08753011800940547,0.057452312300101366,0.0529322365395114,0.0394833091956244
2853_4,LSHO,82.8,1.778,1.1722,1.3306,58,0.09670640350936002,0.06609357142923887,0.0569369121206869,0.041736750395837435
2853_5,LSHO,82.8,1.778,1.3889,1.5333,51,0.07902127212326482,0.04792158332293938,0.05008122547275893,0.037944092490772914
2857_1,LSHO,72.6,1.8542,1.375,1.5139,51,0.07482230530781729,0.04324809442408561,0.03377970722546841,0.05086168577645885
2857_2,LSHO,73.5,1.8542,1.4139,1.5722,56,0.08783659438831952,0.05477145708002197,0.04201851625593859,0.05431205294148712
2857_3,LSHO,73.1,1.8542,1.2639,1.3944,46,0.06506324202196402,0.03611370396117265,0.028720998913658372,0.04587079757334813
2857_4,LSHO,72.9,1.8542,1.2083,1.3583,54,0.08157955422931393,0.04914964422848389,0.03799799817049741,0.05287426855760661
2857_5,LSHO,73.3,1.8542,1.3444,1.4833,50,0.07399037142775233,0.04255275560288486,0.03553357190861048,0.04900207467070665
2859_1,LSHO,90.9,1.8542,1.3278,1.4806,55,0.07606000188180899,0.04119732448982931,0.04749453449175326,0.0428038962543383
2859_2,LSHO,91.5,1.8542,1.4222,1.5639,52,0.06920095335148592,0.034968763750198445,0.04399659111245905,0.04037644705791269
2859_3,LSHO,90.8,1.8542,1.3917,1.5472,55,0.07491067169817306,0.04136053727817429,0.04765303854848515,0.0403745291914198
2859_4,LSHO,90.8,1.8542,1.3278,1.4694,50,0.06358756054147724,0.030339596596477066,0.038505749517096004,0.04049930848922893
2859_5,LSHO,91.4,1.8542,1.325,1.4694,52,0.06988380198635023,0.03377397535594212,0.042708674370969,0.043806774615328135
2860_1,LSHO,89.0,1.8034,1.5139,1.625,40,0.055732507479613544,0.017344016533027494,0.032613712892601426,0.041732999075386516
2860_2,LSHO,88.6,1.8034,1.5583,1.6722,41,0.05955866552266928,0.018465651640344236,0.03495634392892768,0.04454557629508421
2860_3,LSHO,87.8,1.8034,1.55,1.6611,40,0.05914504648035652,0.020267451697354093,0.032234323308058414,0.04525831775188417
2860_5,LSHO,89.5,1.8034,1.5722,1.6833,40,0.058792090345350954,0.018611191917152027,0.03328353225649161,0.04474751281501494
2861_1,LSHO,87.5,1.7526,1.7861,1.9167,48,0.07078812838880323,0.04062839508911804,0.049769643531288134,0.029719946434015137
2861_2,LSHO,87.4,1.7526,1.3278,1.4556,46,0.06492502995037598,0.03637216884553963,0.047363434465318766,0.025476065692689467
2861_3,LSHO,87.6,1.7526,1.425,1.5528,47,0.06950666360034115,0.03821348569496125,0.05115012342372676,0.02746944975112356
2861_4,LSHO,88.9,1.7526,1.3583,1.4889,48,0.07344090656022582,0.040397947517844875,0.05468154337868304,0.027775914142624977
2861_5,LSHO,87.8,1.7526,1.275,1.3944,43,0.06354020807906345,0.033069650084780834,0.0471186606096666,0.026899593088964887
2865_1,LSHO,85.9,1.8796,1.8778,2.025,53,0.07499949461909453,0.03966982346704775,0.05198082349418423,0.03673177491055014
2865_2,LSHO,86.0,1.8796,1.7333,1.8917,58,0.08851672562183335,0.050231775085342864,0.06374882415497243,0.03532799039635374
