player_id,statsapi_name,height_raw,height_in,position
682653,Warming Bernabel,"6' 1""",73.0,Third Base
657514,Brennan Bernardino,"6' 4""",76.0,Pitcher
621244,José Berríos,"6' 0""",72.0,Pitcher
672642,Steward Berroa,"5' 9""",69.0,Outfielder
542932,Jon Berti,"5' 10""",70.0,Second Base
605141,Mookie Betts,"5' 9""",69.0,Shortstop
676440,Tanner Bibee,"6' 2""",74.0,Pitcher
666182,Bo Bichette,"5' 11""",71.0,Third Base
674370,Osvaldo Bido,"6' 3""",75.0,Pitcher
669456,Shane Bieber,"6' 3""",75.0,Pitcher
685801,Hunter Bigge,"6' 0""",72.0,Pitcher
624415,Cavan Biggio,"6' 0""",72.0,First Base
656234,Jake Bird,"6' 3""",75.0,Pitcher
806185,Hayden Birdsong,"6' 5""",77.0,Pitcher
702352,Spencer Bivens,"6' 4""",76.0,Pitcher
696131,Mason Black,"6' 3""",75.0,Pitcher
672012,Tyler Black,"6' 0""",72.0,Designated Hitter
621112,Paul Blackburn,"6' 1""",73.0,Pitcher
687134,Bradley Blalock,"6' 2""",74.0,Pitcher
680118,Dairon Blanco,"6' 0""",72.0,Outfielder
669854,Ronel Blanco,"6' 3""",75.0,Pitcher
668709,JJ Bleday,"6' 2""",74.0,Outfielder
656240,Scott Blewett,"6' 6""",78.0,Pitcher
669208,Ryan Bliss,"5' 7""",67.0,Second Base
805123,AJ Blubaugh,"6' 2""",74.0,Pitcher
593428,Xander Bogaerts,"6' 2""",74.0,Shortstop
664761,Alec Bohm,"6' 4""",76.0,Third Base
675989,Cody Bolton,"6' 2""",74.0,Pitcher
592155,Cam Booser,"6' 3""",75.0,Pitcher
621366,Ryan Borucki,"6' 4""",76.0,Pitcher
656248,Sean Bouchard,"6' 2""",74.0,Outfielder
676961,Caleb Boushley,"6' 3""",75.0,Pitcher
641386,Ben Bowden,"6' 4""",76.0,Pitcher
680742,Jonathan Bowlan,"6' 6""",78.0,Pitcher
621199,Matt Bowman,"6' 0""",72.0,Pitcher
571510,Matthew Boyd,"6' 3""",75.0,Pitcher
671212,Joe Boyle,"6' 8""",80.0,Pitcher
680694,Kyle Bradish,"6' 3""",75.0,Pitcher
671737,Taj Bradley,"6' 2""",74.0,Pitcher
542963,Rob Brantly,"6' 1""",73.0,Catcher
666374,Matt Brash,"6' 1""",73.0,Pitcher
518489,Ryan Brasier,"6' 0""",72.0,Pitcher
623211,Huascar Brazobán,"6' 3""",75.0,Pitcher
605154,John Brebbia,"6' 1""",73.0,Pitcher
608324,Alex Bregman,"5' 10""",70.0,Third Base
686823,Will Brennan,"5' 11""",71.0,Outfielder
681146,Jonah Bride,"5' 11""",71.0,Third Base
689225,Beau Brieske,"6' 3""",75.0,Pitcher
656257,Jeff Brigham,"6' 0""",72.0,Pitcher
641401,Connor Brogdon,"6' 6""",78.0,Pitcher
670092,Trenton Brooks,"5' 11""",71.0,Outfielder
676962,Ben Brown,"6' 6""",78.0,Pitcher
686613,Hunter Brown,"6' 2""",74.0,Pitcher
685326,McCade Brown,"6' 6""",78.0,Pitcher
664913,Seth Brown,"6' 1""",73.0,Outfielder
664141,JT Brubaker,"6' 4""",76.0,Pitcher
677865,Justin Bruihl,"6' 2""",74.0,Pitcher
660644,Vidal Bruján,"5' 9""",69.0,Shortstop
592178,Kris Bryant,"6' 5""",77.0,Designated Hitter
694350,Zach Brzykcy,"6' 2""",74.0,Pitcher
663460,Kris Bubic,"6' 3""",75.0,Pitcher
621111,Walker Buehler,"6' 2""",74.0,Pitcher
607481,Aaron Bummer,"6' 3""",75.0,Pitcher
595897,Nick Burdi,"6' 3""",75.0,Pitcher
669394,Jake Burger,"6' 0""",72.0,First Base
686228,Juan Burgos,"6' 0""",72.0,Pitcher
656271,Brock Burke,"6' 4""",76.0,Pitcher
680732,Sean Burke,"6' 6""",78.0,Pitcher
676475,Alec Burleson,"6' 0""",72.0,First Base
669203,Corbin Burnes,"6' 3""",75.0,Pitcher
695505,Chase Burns,"6' 3""",75.0,Pitcher
621114,Ryan Burr,"6' 4""",76.0,Pitcher
681347,Mike Burrows,"6' 1""",73.0,Pitcher
683737,Michael Busch,"5' 11""",71.0,First Base
671732,Lawrence Butler,"6' 3""",75.0,Outfielder
676130,José Buttó,"6' 0""",72.0,Pitcher
621439,Byron Buxton,"6' 1""",73.0,Outfielder
676609,José Caballero,"5' 9""",69.0,Shortstop
665795,Edward Cabrera,"6' 5""",77.0,Pitcher
650893,Génesis Cabrera,"6' 2""",74.0,Pitcher
665828,Oswaldo Cabrera,"6' 0""",72.0,Third Base
695506,Jac Caglianone,"6' 4""",76.0,Outfielder
683357,Owen Caissie,"6' 4""",76.0,Outfielder
669743,Alex Call,"5' 11""",71.0,Outfielder
682997,Tyler Callihan,"5' 11""",71.0,Outfielder
663662,Daz Cameron,"6' 0""",72.0,Outfielder
702070,Noah Cameron,"6' 3""",75.0,Pitcher
691406,Junior Caminero,"6' 1""",73.0,Third Base
663462,Isaiah Campbell,"6' 4""",76.0,Pitcher
692225,Kristian Campbell,"6' 3""",75.0,Second Base
672569,Gustavo Campero,"5' 6""",66.0,Catcher
669134,Luis Campusano,"5' 10""",70.0,Catcher
672744,Alexander Canario,"6' 0""",72.0,Outfielder
600869,Jeimer Candelario,"6' 1""",73.0,Third Base
592192,Mark Canha,"6' 1""",73.0,Outfielder
656288,Griffin Canning,"6' 2""",74.0,Pitcher
686563,Jonathan Cannon,"6' 6""",78.0,Pitcher
666974,Yennier Cano,"6' 4""",76.0,Pitcher
676282,Joey Cantillo,"6' 4""",76.0,Pitcher
686527,Dominic Canzone,"6' 0""",72.0,Designated Hitter
681962,Vinny Capra,"5' 8""",68.0,Third Base
605170,Victor Caratini,"6' 0""",72.0,Catcher
666185,Dylan Carlson,"6' 1""",73.0,Outfielder
681481,Kerry Carpenter,"6' 1""",73.0,Outfielder
471911,Carlos Carrasco,"6' 4""",76.0,Pitcher
692024,Alex Carrillo,"6' 2""",74.0,Pitcher
682998,Corbin Carroll,"5' 10""",70.0,Outfielder
694497,Evan Carter,"6' 2""",74.0,Outfielder
671213,Triston Casas,"6' 4""",76.0,First Base
676508,Ben Casparius,"6' 2""",74.0,Pitcher
680604,Blas Castaño,"5' 10""",70.0,Pitcher
592206,Nick Castellanos,"6' 3""",75.0,Outfielder
620454,José Castillo,"6' 6""",78.0,Pitcher
622491,Luis Castillo,"6' 2""",74.0,Pitcher
622379,Luis F. Castillo,"6' 3""",75.0,Pitcher
612434,Miguel Castro,"6' 7""",79.0,Pitcher
650489,Willi Castro,"6' 0""",72.0,Second Base
676917,Cade Cavalli,"6' 4""",76.0,Pitcher
656302,Dylan Cease,"6' 2""",74.0,Pitcher
677944,Slade Cecconi,"6' 4""",76.0,Pitcher
605177,Andrew Chafin,"6' 2""",74.0,Pitcher
696149,Bubba Chandler,"6' 3""",75.0,Pitcher
665953,Andrés Chaparro,"6' 0""",72.0,First Base
547973,Aroldis Chapman,"6' 4""",76.0,Pitcher
656305,Matt Chapman,"6' 1""",73.0,Third Base
445926,Jesse Chavez,"6' 1""",73.0,Pitcher
691907,Tsung-Che Cheng,"5' 8""",68.0,Shortstop
665862,Jazz Chisholm Jr.,"5' 11""",71.0,Second Base
683409,Angel Chivilli,"6' 2""",74.0,Pitcher
694192,Jackson Chourio,"6' 1""",73.0,Outfielder
687847,Marc Church,"6' 3""",75.0,Pitcher
701675,Nathan Church,"5' 10""",70.0,Outfielder
650644,Aaron Civale,"6' 1""",73.0,Pitcher
672016,Denzel Clarke,"6' 3""",75.0,Outfielder
664199,Taylor Clarke,"6' 3""",75.0,Pitcher
661403,Emmanuel Clase,"6' 2""",74.0,Pitcher
682729,Jonatan Clase,"5' 10""",70.0,Outfielder
