player_id,player_name,statsapi_name,position,height_raw,height_in,ff_pitch_count,fastball_velocity_mph,extension_ft
608717,"Stratton, Chris",Chris Stratton,Pitcher,"6' 2""",74.0,166,91.2,6.43
641329,"Baker, Bryan",Bryan Baker,Pitcher,"6' 6""",78.0,520,96.7,6.43
694738,"Roupp, Landen",Landen Roupp,Pitcher,"6' 2""",74.0,13,93.1,6.43
669920,"Alexander, Jason",Jason Alexander,Pitcher,"6' 2""",74.0,127,91.9,6.43
676702,"Stratton, Hunter",Hunter Stratton,Pitcher,"6' 4""",76.0,160,96.0,6.43
595928,"Curtiss, John",John Curtiss,Pitcher,"6' 5""",77.0,291,94.3,6.43
695505,"Burns, Chase",Chase Burns,Pitcher,"6' 3""",75.0,442,98.7,6.43
622253,"Tate, Dillon",Dillon Tate,Pitcher,"6' 2""",74.0,3,90.9,6.43
519151,"Pressly, Ryan",Ryan Pressly,Pitcher,"6' 2""",74.0,243,93.4,6.43
642152,"Trivino III, Lou",Lou Trivino III,Pitcher,"6' 5""",77.0,132,94.8,6.42
681676,"Fernandez, Ryan",Ryan Fernandez,Pitcher,"6' 0""",72.0,198,95.2,6.42
621244,"Berríos, José",José Berríos,Pitcher,"6' 0""",72.0,463,93.0,6.42
669358,"Baz, Shane",Shane Baz,Pitcher,"6' 3""",75.0,1194,97.0,6.42
657097,"Webb, Jacob",Jacob Webb,Pitcher,"6' 2""",74.0,435,93.4,6.41
621345,"Minter, A.J.",A.J. Minter,Pitcher,"6' 0""",72.0,79,94.5,6.41
643338,"Green, Chad",Chad Green,Pitcher,"6' 3""",75.0,356,95.2,6.41
689147,"Kerkering, Orion",Orion Kerkering,Pitcher,"6' 2""",74.0,356,97.5,6.41
643377,"Jax, Griffin",Griffin Jax,Pitcher,"6' 2""",74.0,194,97.0,6.41
670036,"Festa, Matt",Matt Festa,Pitcher,"6' 1""",73.0,323,92.1,6.4
666277,"Soriano, George",George Soriano,Pitcher,"6' 2""",74.0,123,96.0,6.4
687377,"Ribalta, Orlando",Orlando Ribalta,Pitcher,"6' 7""",79.0,184,96.4,6.4
677952,"Ashcraft, Braxton",Braxton Ashcraft,Pitcher,"6' 5""",77.0,327,97.0,6.4
686747,"La Sorsa, Joe",Joe La Sorsa,Pitcher,"6' 5""",77.0,25,92.5,6.4
573009,"Mantiply, Joe",Joe Mantiply,Pitcher,"6' 4""",76.0,4,88.2,6.4
666374,"Brash, Matt",Matt Brash,Pitcher,"6' 1""",73.0,41,95.8,6.4
676974,"Meyer, Max",Max Meyer,Pitcher,"6' 0""",72.0,231,95.0,6.4
676664,"Sears, JP",JP Sears,Pitcher,"5' 11""",71.0,949,92.2,6.4
664875,"Lawrence, Justin",Justin Lawrence,Pitcher,"6' 3""",75.0,25,94.9,6.4
669620,"Basso, Brady",Brady Basso,Pitcher,"6' 2""",74.0,108,92.7,6.39
620454,"Castillo, José",José Castillo,Pitcher,"6' 6""",78.0,81,93.3,6.39
700669,"Graceffo, Gordon",Gordon Graceffo,Pitcher,"6' 4""",76.0,329,95.7,6.39
607481,"Bummer, Aaron",Aaron Bummer,Pitcher,"6' 3""",75.0,116,91.6,6.39
687075,"Sproat, Brandon",Brandon Sproat,Pitcher,"6' 3""",75.0,40,96.7,6.39
681810,"Warren, Austin",Austin Warren,Pitcher,"6' 0""",72.0,20,93.9,6.39
571510,"Boyd, Matthew",Matthew Boyd,Pitcher,"6' 3""",75.0,1294,93.3,6.39
702352,"Bivens, Spencer",Spencer Bivens,Pitcher,"6' 4""",76.0,81,95.2,6.39
669461,"Liberatore, Matthew",Matthew Liberatore,Pitcher,"6' 4""",76.0,684,93.9,6.39
669387,"Mlodzinski, Carmen",Carmen Mlodzinski,Pitcher,"6' 2""",74.0,596,96.1,6.38
656302,"Cease, Dylan",Dylan Cease,Pitcher,"6' 2""",74.0,1283,97.1,6.38
673540,"Senga, Kodai",Kodai Senga,Pitcher,"6' 1""",73.0,597,94.7,6.38
663773,"Hoeing, Bryan",Bryan Hoeing,Pitcher,"6' 6""",78.0,6,92.7,6.38
676684,"Vest, Will",Will Vest,Pitcher,"6' 0""",72.0,596,96.7,6.38
657571,"Ferguson, Caleb",Caleb Ferguson,Pitcher,"6' 3""",75.0,325,93.9,6.37
622554,"Domínguez, Seranthony",Seranthony Domínguez,Pitcher,"6' 1""",73.0,476,97.7,6.37
663465,"Allard, Kolby",Kolby Allard,Pitcher,"6' 1""",73.0,389,90.1,6.37
678394,"Bello, Brayan",Brayan Bello,Pitcher,"6' 1""",73.0,408,95.1,6.37
666661,"Morillo, Juan",Juan Morillo,Pitcher,"6' 1""",73.0,285,99.0,6.37
671737,"Bradley, Taj",Taj Bradley,Pitcher,"6' 2""",74.0,877,96.2,6.37
641672,"Hatch, Thomas",Thomas Hatch,Pitcher,"6' 1""",73.0,70,93.3,6.37
680735,"Cox, Austin",Austin Cox,Pitcher,"6' 4""",76.0,152,92.7,6.37
