session_pitch,fp_mer_duration_s,fp_mer_positive_energy_j,fp_mer_net_energy_j,fp_mer_positive_mean_power_w,fp_mer_negative_energy_j,fp_br_duration_s,fp_br_positive_energy_j,fp_br_net_energy_j,fp_br_positive_mean_power_w,fp_br_negative_energy_j,mer_share_of_fp_br,official_fp_br_j,session,session_mass_kg
1615_1,0.09719999999999995,290.91215380999995,290.91215380999995,2992.9233931069966,0.0,0.12780000000000014,295.19793044000005,261.05540203500004,2309.842961189356,34.14252840500001,0.9854816847001195,295.1979,1615,87.5448
1615_2,0.07500000000000018,266.83465460500037,266.83465460500037,3557.79539473333,0.0,0.10550000000000015,275.5704847250003,247.91133537000022,2612.0425092417054,27.659149355000096,0.9682991081983338,275.5705,1615,87.5448
1620_1,0.10000000000000009,324.63356908000026,324.63356908000026,3246.3356907999996,0.0,0.13890000000000002,341.2411232200001,304.63139741000003,2456.7395480201585,36.60972581000004,0.9513319087005442,341.2411,1620,92.0808
1620_3,0.09999999999999987,335.71882225499974,335.71882225499974,3357.1882225500017,0.0,0.13890000000000002,352.4165441749999,320.8539353849998,2537.1961423686093,31.562608790000127,0.9526193585517128,352.4165,1620,92.0808
1623_1,0.11390000000000011,324.42429650500026,324.42429650500026,2848.3256936347666,0.0,0.14450000000000007,351.98489199000005,338.70711152999996,2435.881605467127,13.277780460000088,0.9216994930402217,351.9849,1623,81.648
1623_2,0.10829999999999984,326.9006520849997,326.9006520849997,3018.4732417820887,0.0,0.14159999999999995,363.509461245,348.907476375,2567.1572121822046,14.601984870000024,0.8992906290949976,363.5095,1623,81.648
1623_3,0.11390000000000011,323.4973809100003,323.4973809100003,2840.1877165057067,0.0,0.14440000000000008,358.28114332,348.178178615,2481.1713526315775,10.102964705000034,0.9029148950244013,358.2811,1623,81.648
1665_1,0.11109999999999998,434.88766286,434.88766286,3914.380403780379,0.0,0.13890000000000002,444.9373668599999,403.1250813649997,3203.292777969761,41.8122854950002,0.9774132164467947,444.9374,1665,106.596
1665_2,0.1028,415.713901135,415.713901135,4043.909544114786,0.0,0.13050000000000006,426.10891817,384.70537535999983,3265.2024380842895,41.40354281000015,0.9756047888421505,426.1089,1665,106.596
1665_3,0.10830000000000006,427.4857000050002,427.4857000050002,3947.2363804709134,0.0,0.13890000000000002,454.66827870500003,421.09281082,3273.349738696904,33.57546788500002,0.9402144816932861,454.6683,1665,106.596
1668_1,0.09170000000000011,263.2855036550003,263.2855036550003,2871.1614357142853,0.0,0.125,285.40809265,261.39474927500004,2283.2647412,24.013343374999977,0.9224878706500836,285.4081,1668,81.648
