session,session_mass_kg,pitch_n,fp_br_duration_s,stp_j,jfp_j,reconstructed_total_j,official_total_j,duration_sum_s,stp_sum_j,jfp_sum_j,reconstructed_total_sum_j,stp_mean_power_w,jfp_mean_power_w,total_mean_power_w
2981,85.7304,4,0.136075,147.28721584375,178.48962513875,325.77684098249995,334.76195,0.5443,589.148863375,713.958500555,1303.1073639299998,1082.3973238563292,1311.700350091861,2394.09767394819
2989,83.916,5,0.13998000000000005,145.59066718399998,144.42850239999996,290.019169584,303.44043999999997,0.6999000000000002,727.95333592,722.1425119999998,1450.0958479199999,1040.0819201600225,1031.7795570795822,2071.861477239605
2990,83.0088,4,0.145825,165.157096515,140.58421150375,305.74130801875,307.22075,0.5833,660.62838606,562.336846015,1222.965232075,1132.5705229898851,964.0611109463397,2096.6316339362247
2993,97.0704,4,0.14375,193.57433537125,248.37465018124996,441.94898555249995,450.090575,0.575,774.297341485,993.4986007249998,1767.7959422099998,1346.6040721478262,1727.8236534347825,3074.4277255826087
2996,103.8744,4,0.13332499999999997,206.53653269999995,145.32266338624996,351.8591960862499,388.900325,0.5332999999999999,826.1461307999998,581.2906535449998,1407.4367843449995,1549.1208153009563,1089.9880996531033,2639.1089149540594
2999,96.1632,5,0.16663999999999998,172.973307911,206.46673935500007,379.4400472660001,400.05892,0.8331999999999999,864.866539555,1032.3336967750004,1897.2002363300003,1038.0059284145464,1238.9986759181475,2277.004604332694
3034,93.8952,5,0.16166,151.29920959700002,113.01717633900003,264.316385936,283.67512,0.8083,756.496047985,565.0858816950001,1321.58192968,935.9099937956205,699.104146597798,1635.0141403934183
3035,92.5344,5,0.13612000000000002,208.79048020400006,201.31441295100007,410.10489315500007,426.33428000000004,0.6806000000000001,1043.9524010200003,1006.5720647550003,2050.5244657750004,1533.870703820159,1478.948082214223,3012.8187860343814
3036,90.72,4,0.13955,166.8361337225,154.9024662425,321.738599965,321.4977,0.5582,667.34453489,619.60986497,1286.95439986,1195.5294426549622,1110.0140898781797,2305.543532533142
3037,94.3488,5,0.12833999999999995,186.52707683699995,168.22732731400006,354.754404151,373.75118000000003,0.6416999999999997,932.6353841849998,841.1366365700003,1773.772020755,1453.3822412108466,1310.794197553375,2764.1764387642215
