session_pitch,eligible_final_A_to_T,run_pattern,switch_count,final_t_start_time,final_t_phase_fp_br,final_t_minus_mer_ms,final_t_before_mer,stp_positive_fp_br_j,stp_active_duration_s,stp_active_mean_power_w,stp_positive_fp_mer_j,stp_before_final_t_j,stp_after_final_t_j,stp_after_final_t_share,session,session_mass_kg
2840_4,False,T->A->T->A,3,,,,,146.947324185,0.11670000000000003,1259.1887248071978,120.90253639499994,,,,2840,84.8232
2840_5,False,T->A->T->A,3,,,,,151.01318216499993,0.12219999999999986,1235.7870880932905,128.1618680399998,,,,2840,84.8232
2843_1,True,A->T->A->T,3,1.2444,0.7855917667238411,5.50000000000006,False,141.863365965,0.11660000000000004,1216.6669465265863,109.77406761499977,120.06493861999988,21.79842734500012,0.15365790312897373,2843,83.4624
2843_2,True,A->T->A->T,3,1.0778,0.7907949790794987,5.600000000000049,False,138.29147375500003,0.11950000000000005,1157.2508264016733,109.47514011500012,119.1203500950002,19.17112365999984,0.13862838495715066,2843,83.4624
2843_3,True,A->T->A->T,3,1.1667,0.7877394636015336,5.600000000000049,False,147.68568862499995,0.13049999999999984,1131.6911005747138,117.47232200499998,127.11239986500007,20.57328875999987,0.13930455246912302,2843,83.4624
2843_4,True,A->T->A->T,3,1.1389,0.7871362940275648,5.600000000000049,False,143.20702090999995,0.13060000000000005,1096.5315536753437,115.29167249999995,124.04908718000003,19.157933729999975,0.13377789446538374,2843,83.4624
2843_5,True,A->T->A->T,3,1.1222,0.8084291187739471,5.50000000000006,False,137.92511463500006,0.13050000000000006,1056.8974301532567,112.29502997500008,120.86370979000017,17.061404844999885,0.1237004942149264,2843,83.4624
2853_1,True,A->T->A->T,3,1.45,0.852,8.299999999999974,False,144.78172221999998,0.13474999999999993,1074.4469181447128,134.61066342499996,142.18770072499993,2.5940214950000398,0.017916774681394864,2853,89.3592
2853_3,False,A->T->A,2,,,,,116.40199961,0.11530000000000007,1009.5576722463134,116.40199961,,,,2853,89.3592
2853_4,True,A->T->A->T,3,1.3111,0.876893939393939,11.099999999999888,False,144.32412616500005,0.14310000000000012,1008.5543407756809,135.6899576550001,143.26497450500003,1.0591516600000315,0.0073387013532938035,2853,89.3592
