session,session_mass_kg,eligible_pitch_n,final_t_phase_fp_br,final_t_minus_mer_ms,final_t_before_mer_fraction,stp_positive_fp_br_j,stp_positive_fp_mer_j,stp_active_duration_s,stp_active_mean_power_w,stp_after_final_t_share
2993,97.0704,4,0.6837497533510238,-13.875000000000027,1.0,193.57433537125,158.98397147875005,0.142,1364.5598226669608,0.35755635101175764
2996,103.8744,4,0.6289984145740734,-13.924999999999965,1.0,206.53653269999995,182.9531321299999,0.125675,1647.672926776923,0.3103423750516856
2999,96.1632,4,0.7556350124381641,-10.400000000000077,1.0,174.207480385,143.52874424000004,0.16802499999999998,1037.2197839259102,0.2889277619874729
3034,93.8952,5,0.7590362049089692,-4.999999999999982,1.0,151.29920959700002,135.15999428999993,0.14748999999999995,1026.9849200454669,0.16883604602818475
3035,92.5344,4,0.6224341523489293,-20.174999999999997,1.0,209.99410170000004,170.21516248874997,0.13575,1547.3841378156417,0.44714768713140346
3036,90.72,4,0.8082220937539706,6.949999999999957,0.0,166.8361337225,138.59671696000004,0.13955,1196.8432257210416,0.11835208248798507
3037,94.3488,3,0.6217283897650407,-16.63333333333328,1.0,180.40370850999997,157.57564313666663,0.11989999999999996,1504.9562324257483,0.3188294391424252
3043,107.0496,5,0.7406516954289064,-9.460000000000024,1.0,197.810068136,159.06003109300002,0.14778000000000002,1340.1414256417984,0.3033523514033557
3044,114.7608,5,0.6911297473017939,-15.039999999999987,1.0,221.782202435,196.12227674600007,0.15195000000000006,1464.34306156548,0.31609343938080153
3046,78.9264,4,0.7086297640827276,-12.52500000000001,1.0,131.86175372124998,118.55411032124996,0.13956250000000003,948.4182016209473,0.2675622874290432
3053,93.8952,5,0.6029580203528746,-25.55999999999998,1.0,163.249678166,144.73607263099996,0.14221999999999996,1152.8466281340302,0.39479790924889274
3055,93.4416,5,0.640798051114085,-11.100000000000021,1.0,129.28322519799997,86.48926221400002,0.1472199999999999,880.9112091625308,0.4827951127161458
3065,82.5552,5,0.7163545153232982,-2.7799999999999603,1.0,144.78107099500002,119.04779109599997,0.12581000000000003,1151.0175747310143,0.21357762413436063
3132,97.9776,5,0.6133335870364272,-18.319999999999983,1.0,182.33521130600002,156.593116836,0.13503999999999997,1350.210050497988,0.38498607840560783
3140,83.916,5,0.620760755776068,-14.419999999999964,1.0,160.105347831,135.51735671,0.12610000000000002,1274.080535897994,0.33809929232079083
3172,73.4832,5,0.8179102096657372,7.80000000000003,0.2,75.332436005,58.545712876999985,0.12469999999999999,604.1240686911786,0.11646409554714521
3222,87.5448,5,0.7546416344635126,0.0,1.0,127.63330629199997,109.374133132,0.12719999999999998,1004.65147852405,0.14348222165108587
3228,93.8952,5,0.789812293517542,-2.1999999999999353,1.0,231.24806010499998,209.09551181599986,0.15192999999999998,1529.9304842578927,0.11650391335451112
3232,85.2768,5,0.7451229703334448,-1.1200000000000543,1.0,152.5885475139999,134.767729737,0.11307,1352.0699858953353,0.13069759186295643
3233,80.7408,5,0.8063475233370812,2.239999999999975,0.6,127.996165837,122.14756300200001,0.13394999999999999,956.9621580648552,0.07677354341415307
3247,87.9984,5,0.6522050567330083,-17.799999999999905,1.0,165.057076222,143.9659507079999,0.14054000000000005,1174.9002094614284,0.3408334544690014
3248,81.1944,5,0.8003355300614083,2.760000000000007,0.4,184.47568983400004,171.276730719,0.12748000000000007,1452.4283679964133,0.061290599036887314
3250,83.4624,4,0.7538484515730183,-3.4750000000000614,1.0,175.31308938249998,138.93786000750003,0.150675,1167.5155561352703,0.2577909725075721
3252,88.452,5,0.7768187500731729,-4.440000000000044,1.0,167.585197985,139.2262026900001,0.15222000000000002,1101.8859740180128,0.22185943763341354
