session_pitch,eligible_arm_limited,all_frame_n,all_torso_accelerating_fraction,all_torso_accelerating_raw_fraction,all_thorax_net_positive_fraction,all_both_accel_and_net_positive_fraction,all_stp_weighted_accelerating_fraction,all_stp_weighted_net_positive_fraction,all_stp_weighted_both_fraction,all_mean_thorax_shoulder_stp_w,all_mean_arm_shoulder_stp_w,all_mean_thorax_net_seg_pwr_w,all_mean_torso_accel_deg_s2,pre_mer_frame_n,pre_mer_torso_accelerating_fraction,pre_mer_torso_accelerating_raw_fraction,pre_mer_thorax_net_positive_fraction,pre_mer_both_accel_and_net_positive_fraction,pre_mer_stp_weighted_accelerating_fraction,pre_mer_stp_weighted_net_positive_fraction,pre_mer_stp_weighted_both_fraction,pre_mer_mean_thorax_shoulder_stp_w,pre_mer_mean_arm_shoulder_stp_w,pre_mer_mean_thorax_net_seg_pwr_w,pre_mer_mean_torso_accel_deg_s2,session
1826_4,True,23.0,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.30434782608695654,0.2910166975016539,0.26911627903449953,0.26911627903449953,-1967.5626521739134,1422.0200565217392,-327.69575217391304,-2373.6055906597026,23.0,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.30434782608695654,0.2910166975016539,0.26911627903449953,0.26911627903449953,-1967.5626521739134,1422.0200565217392,-327.69575217391304,-2373.6055906597026,1826
1826_5,True,23.0,0.34782608695652173,0.34782608695652173,0.43478260869565216,0.34782608695652173,0.264776744839774,0.32253365255253147,0.264776744839774,-1981.3333739130435,1458.3863608695654,-34.010799999999975,-2883.913959392649,23.0,0.34782608695652173,0.34782608695652173,0.43478260869565216,0.34782608695652173,0.264776744839774,0.32253365255253147,0.264776744839774,-1981.3333739130435,1458.3863608695654,-34.010799999999975,-2883.913959392649,1826
1830_1,True,21.0,0.09523809523809523,0.09523809523809523,0.9523809523809523,0.09523809523809523,0.06315640573428549,0.9301320214317673,0.06315640573428549,-1358.4987666666668,1283.9329619047621,3267.926804761904,-1821.629519118405,21.0,0.09523809523809523,0.09523809523809523,0.9523809523809523,0.09523809523809523,0.06315640573428549,0.9301320214317673,0.06315640573428549,-1358.4987666666668,1283.9329619047621,3267.926804761904,-1821.629519118405,1830
1830_2,True,21.0,0.38095238095238093,0.38095238095238093,1.0,0.38095238095238093,0.31981846893286314,1.0,0.31981846893286314,-1554.0791285714286,1430.253395238095,4433.371300000001,-2526.807087926097,21.0,0.38095238095238093,0.38095238095238093,1.0,0.38095238095238093,0.31981846893286314,1.0,0.31981846893286314,-1554.0791285714286,1430.253395238095,4433.371300000001,-2526.807087926097,1830
1830_3,True,20.0,0.15,0.15,1.0,0.15,0.10165135318252551,1.0,0.10165135318252551,-1361.567,1242.217305,5047.191455000001,-986.2472814184002,20.0,0.15,0.15,1.0,0.15,0.10165135318252551,1.0,0.10165135318252551,-1361.567,1242.217305,5047.191455000001,-986.2472814184002,1830
1830_4,True,23.0,0.5217391304347826,0.5217391304347826,1.0,0.5217391304347826,0.430840912651608,1.0,0.430840912651608,-1354.4151,1243.704847826087,3359.8985347826087,-443.15549361765255,23.0,0.5217391304347826,0.5217391304347826,1.0,0.5217391304347826,0.430840912651608,1.0,0.430840912651608,-1354.4151,1243.704847826087,3359.8985347826087,-443.15549361765255,1830
1830_5,True,23.0,0.43478260869565216,0.43478260869565216,1.0,0.43478260869565216,0.3451606280661817,1.0,0.3451606280661817,-1466.457656521739,1312.6952478260869,5441.6156434782615,-1193.171813222562,23.0,0.43478260869565216,0.43478260869565216,1.0,0.43478260869565216,0.3451606280661817,1.0,0.3451606280661817,-1466.457656521739,1312.6952478260869,5441.6156434782615,-1193.171813222562,1830
1845_1,True,17.0,0.35294117647058826,0.35294117647058826,0.7058823529411765,0.35294117647058826,0.3168413345891573,0.4162159578159617,0.3168413345891573,-1773.8057058823529,848.4390823529412,1303.7754588235296,-3150.7710496432574,17.0,0.35294117647058826,0.35294117647058826,0.7058823529411765,0.35294117647058826,0.3168413345891573,0.4162159578159617,0.3168413345891573,-1773.8057058823529,848.4390823529412,1303.7754588235296,-3150.7710496432574,1845
1845_2,True,20.0,0.6,0.6,0.45,0.35,0.46604675854784816,0.26395172304933223,0.24653274205304332,-1672.632585,998.9114800000001,178.59508499999995,-1060.6182657760116,20.0,0.6,0.6,0.45,0.35,0.46604675854784816,0.26395172304933223,0.24653274205304332,-1672.632585,998.9114800000001,178.59508499999995,-1060.6182657760116,1845
1845_3,True,17.0,0.29411764705882354,0.29411764705882354,0.6470588235294118,0.29411764705882354,0.30501806548813853,0.39677828490627315,0.30501806548813853,-1869.9589705882352,889.4111764705882,751.1161000000001,-3374.634266518394,17.0,0.29411764705882354,0.29411764705882354,0.6470588235294118,0.29411764705882354,0.30501806548813853,0.39677828490627315,0.30501806548813853,-1869.9589705882352,889.4111764705882,751.1161000000001,-3374.634266518394,1845
