session,all_frame_n,all_torso_accelerating_fraction,all_torso_accelerating_raw_fraction,all_thorax_net_positive_fraction,all_both_accel_and_net_positive_fraction,all_stp_weighted_accelerating_fraction,all_stp_weighted_net_positive_fraction,all_stp_weighted_both_fraction,all_mean_thorax_shoulder_stp_w,all_mean_arm_shoulder_stp_w,all_mean_thorax_net_seg_pwr_w,all_mean_torso_accel_deg_s2,pre_mer_frame_n,pre_mer_torso_accelerating_fraction,pre_mer_torso_accelerating_raw_fraction,pre_mer_thorax_net_positive_fraction,pre_mer_both_accel_and_net_positive_fraction,pre_mer_stp_weighted_accelerating_fraction,pre_mer_stp_weighted_net_positive_fraction,pre_mer_stp_weighted_both_fraction,pre_mer_mean_thorax_shoulder_stp_w,pre_mer_mean_arm_shoulder_stp_w,pre_mer_mean_thorax_net_seg_pwr_w,pre_mer_mean_torso_accel_deg_s2
2655,31.4,0.38133575317604357,0.38133575317604357,0.6778729582577132,0.35843920145190566,0.2599636020553187,0.6476781732271812,0.2428602619746238,-1826.5582397745916,1340.2631744669693,1049.1957021862067,-2416.1051232780687,31.0,0.38580524290869117,0.38580524290869117,0.6765927306616961,0.36290869118455327,0.263245133611064,0.6458704491156168,0.24614179353036908,-1828.0907056509095,1339.1434959009152,1039.7353210531508,-2323.438409494395
2730,24.25,0.2897698135198135,0.2897698135198135,0.7952797202797203,0.2609236596736597,0.31631428917549864,0.785291105439664,0.271767745970549,-1337.5923647977854,937.5348609597902,1115.837509405303,-2603.9182961076585,18.75,0.3333333333333333,0.3333333333333333,0.7719298245614035,0.3201754385964912,0.3235522379535359,0.7936174521914857,0.30851670300871015,-1472.8335157894737,1004.1219040204678,1032.8391949561405,-2519.526077695352
2734,32.2,0.5875524475524475,0.5875524475524475,0.47649683649683655,0.29033633033633033,0.45354412883522627,0.4453671044562304,0.17385192868928384,-1429.6445632400932,1167.0844503479852,36.847657179154155,422.70409965526994,30.2,0.6277097902097901,0.6277097902097901,0.5091200466200466,0.31082459207459207,0.4806058431903336,0.47110619707033896,0.18489967293921422,-1455.4550796537492,1178.7071166399571,102.77193715472026,1131.4815580116306
2742,19.0,0.12193188854489163,0.12193188854489163,0.16611764705882354,0.05505882352941176,0.08697585738378703,0.1300526585955347,0.04044685645999725,-2500.723621208669,2296.679660406192,-1223.3393487900928,-2693.5351127384156,18.8,0.12487306501547987,0.12487306501547987,0.172,0.057999999999999996,0.0869948051611428,0.13009386418548796,0.040465804237353006,-2528.7135717233746,2322.4254322444276,-1226.2141294518576,-2617.0606657130993
2753,11.0,0.0,0.0,0.678409090909091,0.0,0.0,0.6337764527667349,0.0,-1528.418463371212,1423.107035378788,428.551389469697,-3672.6285420066824,11.0,0.0,0.0,0.678409090909091,0.0,0.0,0.6337764527667349,0.0,-1528.418463371212,1423.107035378788,428.551389469697,-3672.6285420066824
2760,24.8,0.5320515297906603,0.5320515297906603,0.5731545893719807,0.10520611916264092,0.479006088314209,0.6409528229435744,0.11995891125778328,-1072.742064211111,921.2706531624799,378.2350456597424,1106.0364562336576,24.8,0.5320515297906603,0.5320515297906603,0.5731545893719807,0.10520611916264092,0.479006088314209,0.6409528229435744,0.11995891125778328,-1072.742064211111,921.2706531624799,378.2350456597424,1106.0364562336576
2761,21.75,0.4298949579831933,0.4298949579831933,0.25704131652661066,0.20572478991596638,0.36110363347552615,0.24518313457310004,0.20631193744130014,-1616.2878750612745,1408.7453015070028,-688.0584344782912,-2146.7192666270435,21.0,0.44641410912190965,0.44641410912190965,0.2528772378516624,0.2130488064791134,0.37312158197185963,0.25077357193454064,0.21198851919975964,-1632.747084916347,1419.293289973359,-719.8791502999786,-1883.7625924176812
2806,18.6,0.12207792207792208,0.12207792207792208,1.0,0.12207792207792208,0.08556641886308557,1.0,0.08556641886308557,-1187.2057839783552,1107.016760982684,559.4956673452382,-4553.9575819375295,14.4,0.16277753206545775,0.16277753206545775,1.0,0.16277753206545775,0.10376044381109091,1.0,0.10376044381109091,-1284.5657054167773,1203.8851020114994,509.5211250411322,-3219.8386027035713
2811,42.0,0.3576574021554169,0.37173206827205696,0.8771928015263238,0.3576574021554169,0.18112633078854296,0.8384545468866467,0.18112633078854296,-1140.4715390865263,825.6555967841489,1543.9187358920742,-1367.438206324979,42.0,0.3576574021554169,0.37173206827205696,0.8771928015263238,0.3576574021554169,0.18112633078854296,0.8384545468866467,0.18112633078854296,-1140.4715390865263,825.6555967841489,1543.9187358920742,-1367.438206324979
2812,35.8,0.36564775910364145,0.36564775910364145,0.9771428571428572,0.3427906162464986,0.2668397068138849,0.9885385004657824,0.2553782072796674,-956.0180287986693,560.1017144327732,1628.5737037941176,-1989.7239941033033,35.8,0.36564775910364145,0.36564775910364145,0.9771428571428572,0.3427906162464986,0.2668397068138849,0.9885385004657824,0.2553782072796674,-956.0180287986693,560.1017144327732,1628.5737037941176,-1989.7239941033033
2815,22.0,0.573125960061444,0.573125960061444,0.8388095238095238,0.41193548387096773,0.4263286162413122,0.9189004896807278,0.34522910592204,-1409.2374963932411,1239.4291306635944,1251.0263747457757,1703.5746132696736,22.0,0.573125960061444,0.573125960061444,0.8388095238095238,0.41193548387096773,0.4263286162413122,0.9189004896807278,0.34522910592204,-1409.2374963932411,1239.4291306635944,1251.0263747457757,1703.5746132696736
2818,14.8,0.9058823529411765,0.9058823529411765,0.6886877828054299,0.6416289592760182,0.8817414503789933,0.6449835647628799,0.5848232182259034,-1418.3369816031027,1335.5698455785391,627.9400344537814,4823.237007155398,14.8,0.9058823529411765,0.9058823529411765,0.6886877828054299,0.6416289592760182,0.8817414503789933,0.6449835647628799,0.5848232182259034,-1418.3369816031027,1335.5698455785391,627.9400344537814,4823.237007155398
2833,29.6,0.6297492163009404,0.6297492163009404,0.6151365875503807,0.24488580385132108,0.5756835098214198,0.7395725848583772,0.3152560946797971,-1405.7572076236752,1147.1162980338856,193.18716115539632,1426.6004857327378,29.6,0.6297492163009404,0.6297492163009404,0.6151365875503807,0.24488580385132108,0.5756835098214198,0.7395725848583772,0.3152560946797971,-1405.7572076236752,1147.1162980338856,193.18716115539632,1426.6004857327378
2840,20.5,0.23081567555251764,0.23081567555251764,0.9755952380952381,0.23081567555251764,0.2179834991356758,0.9938479513136103,0.2179834991356758,-1599.3074972217476,1377.3322714149008,1922.8473642996696,-4730.65477287091,18.5,0.2546439628482972,0.2546439628482972,1.0,0.2546439628482972,0.22306577248604453,1.0,0.22306577248604453,-1712.9254291795664,1489.9978523219816,2097.166416718266,-4837.582931828197
2843,23.2,0.5863333333333334,0.5863333333333334,0.5652670807453416,0.4372815734989648,0.5234687468410106,0.49760790328564086,0.36651338816097023,-1649.262482457557,1289.4796951049689,68.60023326687374,141.327107477388,22.2,0.612859025032938,0.612859025032938,0.5906455862977602,0.45694993412384716,0.5556023337448066,0.5277940025558372,0.3888372341784474,-1640.5396581067193,1269.9705270342556,128.57029580632417,446.5083846946494
2853,21.5,0.3463330148112757,0.3463330148112757,0.9029503105590062,0.3463330148112757,0.2666451388115511,0.9108945561418809,0.2666451388115511,-1175.54937267678,1002.8054913401816,1413.2913023053031,-2565.2484752604714,19.25,0.371730957829356,0.371730957829356,0.8988095238095238,0.371730957829356,0.2771135409987328,0.9071793060306228,0.2771135409987328,-1212.19066938542,1041.8707317219682,1508.19906109976,-1953.1901384078574
2857,39.0,0.5254716970996041,0.5254716970996041,0.7115869715869716,0.3165643281922351,0.44333605737179427,0.726800970408186,0.2625477258422785,-1015.26036646019,871.6532968361723,478.19686393919585,428.58859130774306,33.8,0.6061129103593899,0.6061129103593899,0.6659636757928978,0.3647629510208158,0.4929093950838267,0.695358622269574,0.2910231759555305,-1048.6778868847641,907.7574106710135,368.7182973239361,1540.6942189012684
2859,24.2,0.6786546287295913,0.6768555282798161,0.9661883344042265,0.6717580770054534,0.5104260497515767,0.9371376996388104,0.5093802915231597,-1433.2345387802652,1135.620474670457,2557.642740030574,3097.605039676312,24.2,0.6786546287295913,0.6768555282798161,0.9661883344042265,0.6717580770054534,0.5104260497515767,0.9371376996388104,0.5093802915231597,-1433.2345387802652,1135.620474670457,2557.642740030574,3097.605039676312
2860,18.0,0.3194444444444444,0.3194444444444444,0.4305555555555555,0.3055555555555556,0.27421480616810967,0.38331341191047036,0.26155430151332304,-2502.3011194444443,1994.5003541666665,-158.76107361111121,-6428.6516981977275,18.0,0.3194444444444444,0.3194444444444444,0.4305555555555555,0.3055555555555556,0.27421480616810967,0.38331341191047036,0.26155430151332304,-2502.3011194444443,1994.5003541666665,-158.76107361111121,-6428.6516981977275
2861,25.2,0.5103527781563764,0.5103527781563764,0.8285592593313733,0.36699085522173974,0.35110554002571337,0.8139437522295587,0.2010066665218478,-1651.3132432249135,1451.0670319900926,1089.2456382821415,1761.330611410684,25.2,0.5103527781563764,0.5103527781563764,0.8285592593313733,0.36699085522173974,0.35110554002571337,0.8139437522295587,0.2010066665218478,-1651.3132432249135,1451.0670319900926,1089.2456382821415,1761.330611410684
2865,18.4,0.7649122807017543,0.7649122807017543,0.45326551673300897,0.4121627598407784,0.6704819341874164,0.49826881395202227,0.43972243804218136,-1400.7014774856257,1167.1683479092953,-148.10360618107774,3934.3917380910666,18.4,0.7649122807017543,0.7649122807017543,0.45326551673300897,0.4121627598407784,0.6704819341874164,0.49826881395202227,0.43972243804218136,-1400.7014774856257,1167.1683479092953,-148.10360618107774,3934.3917380910666
2882,25.5,0.6536620082815735,0.6536620082815735,0.8923251667816885,0.6536620082815735,0.4679104940212877,0.7783212557320494,0.4679104940212877,-1504.0492670491144,1021.8583589868012,1796.2690574426329,1627.691455485836,25.5,0.6536620082815735,0.6536620082815735,0.8923251667816885,0.6536620082815735,0.4679104940212877,0.7783212557320494,0.4679104940212877,-1504.0492670491144,1021.8583589868012,1796.2690574426329,1627.691455485836
2889,9.2,0.9578947368421054,0.9578947368421054,1.0,0.9578947368421054,0.9513790567924424,1.0,0.9513790567924424,-1208.0658350643275,1110.5603707836258,673.7441834101921,6247.318987360704,9.2,0.9578947368421054,0.9578947368421054,1.0,0.9578947368421054,0.9513790567924424,1.0,0.9513790567924424,-1208.0658350643275,1110.5603707836258,673.7441834101921,6247.318987360704
2891,36.4,0.5720439344787536,0.5720439344787536,0.8979965156794425,0.5625201249549441,0.4514183592110446,0.8314616887054791,0.44517871340580956,-1941.2705432592415,1584.6185952224357,1786.9229445633987,-95.7029339249895,34.8,0.5960268044115594,0.5960268044115594,0.8906882591093117,0.5857703941551492,0.47032430269086367,0.818116644726317,0.4635591208332257,-1934.0559008623015,1575.1489382488714,1765.8941861755316,337.63601239727905
2905,15.6,0.0,0.0,0.7772549019607843,0.0,0.0,0.791816305907372,0.0,-1838.1593433893554,1571.3586156302522,1321.0897788851541,-6539.962166594733,15.6,0.0,0.0,0.7772549019607843,0.0,0.0,0.791816305907372,0.0,-1838.1593433893554,1571.3586156302522,1321.0897788851541,-6539.962166594733
2907,29.4,0.5568190940604734,0.5568190940604734,0.6749921215438457,0.42584183377286833,0.4488942335401866,0.6679847329889492,0.3266720349940623,-1507.372223757758,1227.5630829361596,643.3856930844239,-452.76026181012855,29.4,0.5568190940604734,0.5568190940604734,0.6749921215438457,0.42584183377286833,0.4488942335401866,0.6679847329889492,0.3266720349940623,-1507.372223757758,1227.5630829361596,643.3856930844239,-452.76026181012855
2916,29.2,0.33137879024288763,0.3244822385187497,0.9266968325791854,0.3024195142247881,0.3382678509515581,0.9401447800575393,0.3247776762521931,-2266.824685213375,1885.7603342806124,1889.2075857962586,-4988.05156694034,22.8,0.42302697302697306,0.4146936396936397,0.9256410256410256,0.38676323676323676,0.3755772416758471,0.9442614308459415,0.36016120026035575,-2509.723400048285,2174.257445268065,2241.9187387096235,-2935.7926717853397
