session_pitch,user,session_height_m,pitch_speed_mph,fp_poi_time,ER90_time,MER_time,BR_time,ER90_to_MER_duration_s,shoulder_angle_z_at_MER_deg,hand_jc_z_at_ER90_m,hand_jc_z_at_MER_m,max_hand_height_drop_m,max_hand_height_drop_cm,max_hand_height_drop_pct_body_height,max_hand_height_drop_start_time,max_hand_height_drop_end_time,max_hand_height_drop_duration_s,height_drop_cm_within_pitcher,speed_mph_within_pitcher
1729_1,1003,2.0066,90.6,1.9667,2.003430490089735,2.0806,2.1139,0.07716950991026517,170.5134,1.4217946849423133,1.6772,0.01999468494231338,1.9994684942313379,0.9964459753968593,2.003430490089735,2.0306,0.027169509910265344,0.5402689801025984,0.09999999999999432
1729_2,1003,2.0066,90.5,1.8167,1.85729071143322,1.9333,1.9639,0.07600928856678002,170.5958,1.4610354779864911,1.7018,0.0178354779864911,1.78354779864911,0.8888407249322784,1.85729071143322,1.8833,0.026009288566779976,0.32434828452037046,0.0
1729_3,1003,2.0066,90.4,1.9528,1.9885792425345956,2.0639,2.0944,0.07532075746540423,170.2972,1.4261458224950576,1.6965,0.0059458224950577065,0.5945822495057707,0.2963132908929386,1.9885792425345956,2.0083,0.01972075746540458,-0.8646172646229688,-0.09999999999999432
1759_1,1017,1.8034,83.9,1.3917,1.4211190383475831,1.4861,1.5194,0.06498096165241685,172.4537,1.3244125962922204,1.3087,0.07781259629222048,7.781259629222048,4.314771891550432,1.4211190383475831,1.4639,0.04278096165241685,0.6363994163292324,0.29999999999999716
1759_2,1017,1.8034,83.4,1.4639,1.4939046146154848,1.5583,1.5889,0.06439538538451517,172.3286,1.2791403425640133,1.2837,0.05914034256401335,5.914034256401335,3.279380202063511,1.4939046146154848,1.5333,0.03939538538451526,-1.230825956491481,-0.20000000000000284
1759_3,1017,1.8034,83.5,2.2,2.2306062121508106,2.2972,2.3306,0.06659378784918957,174.9484,1.3128928675305507,1.3146,0.07739286753055064,7.7392867530550635,4.291497589583599,2.2306062121508106,2.2722,0.041593787849189656,0.5944265401622477,-0.10000000000000853
1778_1,610,1.8034,83.3,0.7611,0.7729640745240989,0.8667,0.9,0.09373592547590115,166.3496,1.3951806601863102,1.4474,0.1596806601863101,15.96806601863101,8.854422767345577,0.7729640745240989,0.8278,0.054835925475901104,1.1818134221687302,-0.04999999999999716
1778_2,610,1.8034,83.4,0.7278,0.750307141425613,0.8389,0.875,0.08859285857438703,167.2183,1.3607443917429354,1.4324,0.13604439174293548,13.604439174293548,7.543772415600282,0.750307141425613,0.8,0.0496928585743871,-1.181813422168732,0.05000000000001137
1779_1,560,2.0066,83.7,0.95,1.0143786782061368,1.075,1.1,0.06062132179386315,146.6213,1.3972238956951781,1.5486,0.013423895695178212,1.3423895695178212,0.6689871272390218,1.0143786782061368,1.0333,0.0189213217938633,0.16191933167049033,-0.4333333333333371
1779_2,560,2.0066,85.2,0.9083,0.9698932311985649,1.0278,1.0556,0.05790676880143519,147.5378,1.4097533844007175,1.5589,0.006753384400717488,0.6753384400717488,0.3365585767326566,0.9698932311985649,0.9861,0.016206768801435123,-0.505131797775582,1.0666666666666629
1779_3,560,2.0066,83.5,0.9306,0.9988387537157327,1.0611,1.0861,0.06226124628426721,149.9542,1.4095368270395243,1.5687,0.015236827039524226,1.5236827039524226,0.7593355446787713,0.9988387537157327,1.0194,0.020561246284267365,0.3432124661050917,-0.63333333333334
1782_1,1027,1.8288,73.8,1.4722,1.4879797298070867,1.5611,1.6,0.07312027019291323,148.5305,1.2282964766157194,1.3196,0.09739647661571937,9.739647661571937,5.325704101909415,1.4879797298070867,1.525,0.03702027019291321,-0.2556874105410838,-0.5250000000000057
1782_2,1027,1.8288,74.0,1.6444,1.6579771933358272,1.7361,1.7778,0.07812280666417282,153.6974,1.1616249503639975,1.247,0.1059249503639974,10.59249503639974,5.792046717191459,1.6579771933358272,1.6972,0.03922280666417288,0.5971599642867194,-0.32500000000000284
1782_3,1027,1.8288,74.3,1.3972,1.420211817643576,1.4944,1.5333,0.07418818235642388,152.8364,1.1483195796329189,1.2848,0.09081957963291876,9.081957963291876,4.96607500180002,1.420211817643576,1.4556,0.035388182356423936,-0.9133771088211446,-0.025000000000005684
1782_4,1027,1.8288,75.2,1.4389,1.4533881943033014,1.5306,1.5694,0.07721180569669861,152.614,1.1476723962718853,1.2694,0.1056723962718853,10.56723962718853,5.778236891507289,1.4533881943033014,1.4917,0.038311805696698675,0.5719045550755091,0.875
1783_2,890,1.8034,79.6,1.1278,1.1921794007776167,1.2722,1.3083,0.08002059922238325,178.3174,1.2577897766257529,1.3745,0.059289776625752966,5.928977662575297,3.287666442594708,1.1921794007776167,1.2333,0.041120599222383314,-0.31084796810691984,-0.45000000000000284
1783_3,890,1.8034,79.8,1.1472,1.2054977349943374,1.2889,1.3222,0.0834022650056625,178.24,1.2616424405436015,1.3936,0.06524244054360162,6.524244054360162,3.6177465090163925,1.2054977349943374,1.2472,0.04170226500566265,0.2844184236779457,-0.25
1783_4,890,1.8034,80.2,0.9583,1.0197546829229673,1.1028,1.1389,0.08304531707703267,178.5277,1.2362553083683,1.3669,0.060255308368300176,6.0255308368300176,3.341205964749927,1.0197546829229673,1.0611,0.041345317077032595,-0.21429479385219885,0.15000000000000568
1783_5,890,1.8034,80.6,1.1389,1.1994216925305192,1.2833,1.3194,0.08387830746948088,177.902,1.2591054996896338,1.3825,0.0648054996896339,6.480549968963389,3.5935177825016025,1.1994216925305192,1.2417,0.0422783074694808,0.240724338281173,0.5499999999999972
1808_1,538,1.8288,81.1,1.2444,1.2691365630205442,1.3306,1.3667,0.06146343697945578,168.4869,1.280792707754951,1.345,0.026892707754951006,2.6892707754951006,1.470511141456201,1.2691365630205442,1.3,0.030863436979455816,-0.32052635088050785,-0.020000000000010232
1808_2,538,1.8288,80.8,1.1222,1.1437390741662519,1.2056,1.2389,0.06186092583374814,168.1608,1.2401609258337483,1.3295,0.020460925833748256,2.0460925833748256,1.1188170294044322,1.1437390741662519,1.1694,0.025660925833748127,-0.9637045430007829,-0.3200000000000074
1808_3,538,1.8288,81.3,1.1417,1.158642751209339,1.2194,1.2556,0.060757248790661134,168.5074,1.2827327665614225,1.3204,0.033932766561422634,3.3932766561422634,1.8554662380480442,1.158642751209339,1.1917,0.033057248790661076,0.3834795297666549,0.1799999999999926
1808_4,538,1.8288,81.2,1.0444,1.0573601651719466,1.1222,1.1556,0.06483983482805344,168.3182,1.2892227304987418,1.3531,0.03912273049874182,3.912273049874182,2.139256917035314,1.0573601651719466,1.0917,0.03433983482805325,0.9024759234985735,0.0799999999999983
1808_5,538,1.8288,81.2,1.1,1.1075794062700683,1.1722,1.2056,0.06462059372993156,167.7306,1.2729807256699166,1.3578,0.030080725669916708,3.008072566991671,1.6448340808134683,1.1075794062700683,1.1389,0.03132059372993168,-0.0017245593839376738,0.0799999999999983
1826_1,283,1.905,89.3,1.2778,1.315365278820113,1.3944,1.425,0.07903472117988719,173.4894,1.4723450876105328,1.5178,0.08014508761053274,8.014508761053275,4.207091213151324,1.315365278820113,1.3611,0.04573472117988708,-2.7963958310215276,0.1599999999999966
1826_2,283,1.905,88.9,1.1639,1.185732282757014,1.2667,1.3,0.0809677172429859,175.3444,1.468577841381835,1.4792,0.11297784138183498,11.297784138183498,5.93059534812782,1.185732282757014,1.2361,0.05036771724298594,0.4868795461086961,-0.23999999999999488
1826_3,283,1.905,88.8,1.175,1.2020587508157703,1.2861,1.3194,0.08404124918422973,177.2152,1.4775295519981573,1.4944,0.12142955199815719,12.14295519981572,6.374254698065994,1.2020587508157703,1.2528,0.05074124918422962,1.3320506077409178,-0.3400000000000034
1826_4,283,1.905,89.6,1.1972,1.2293082849568806,1.3111,1.3444,0.08179171504311933,174.953,1.4826605013254588,1.5149,0.11186050132545877,11.186050132545876,5.871942326795736,1.2293082849568806,1.2778,0.04849171504311944,0.37514554047107396,0.45999999999999375
1826_5,283,1.905,89.1,1.2361,1.2621721680730154,1.3444,1.3778,0.08222783192698468,176.0887,1.4678322472877563,1.4901,0.1141322472877564,11.413224728775639,5.991194083346793,1.2621721680730154,1.3111,0.04892783192698458,0.6023201367008362,-0.04000000000000625
1830_1,1062,1.6764,83.5,1.5167,1.5684441349778575,1.6333,1.6667,0.06485586502214247,166.0445,1.2166967902499723,1.1373,0.12789679024997236,12.789679024997236,7.629252579931542,1.5684441349778575,1.6139,0.04545586502214238,1.1847325223857261,0.0
1830_2,1062,1.6764,83.4,1.3944,1.4468169566638818,1.5111,1.5444,0.06428304333611834,166.7035,1.1954123288168839,1.155,0.1072123288168838,10.72123288168838,6.395390647630865,1.4468169566638818,1.4889,0.04208304333611812,-0.88371362092313,-0.09999999999999432
1830_3,1062,1.6764,83.4,1.3111,1.3583862196334706,1.425,1.4583,0.06661378036652943,164.9287,1.2019351825543403,1.1317,0.13253518255434038,13.253518255434038,7.905940262129587,1.3583862196334706,1.4028,0.04441378036652943,1.6485717528225283,-0.09999999999999432
1830_4,1062,1.6764,83.7,1.3444,1.3866882258064517,1.4528,1.4861,0.06611177419354841,166.4415,1.1946033870967743,1.1719,0.10580338709677428,10.580338709677427,6.311344971174797,1.3866882258064517,1.4278,0.04111177419354828,-1.0246077929340824,0.20000000000000284
