session_pitch,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp,session,session_mass_kg
2742_2,0.08609999999999984,366.10294380999954,176.26079391999977,189.84214988999977,0.0,176.26079391999977,0.0,189.84214988999977,0.0,743.8351273005312,4.289711652974901,-0.8886901133050297,-0.5843048654068642,5003.964171983527,0.46875,0.53125,1056.8279,36.6081,31.1599,2742,99.792
2742_3,0.08610000000000007,354.2479165850003,169.2393317750002,185.00858481000017,-5.684341886080802e-14,169.2393317750002,0.0,185.00858481000017,0.0,777.0382861689004,4.184883502712074,-0.8882270000160395,-0.6747005634662652,4986.675845479007,0.5,0.5,1052.4441,37.7529,31.8411,2742,99.792
2742_4,0.10559999999999992,393.9111754149997,200.84238957499983,193.06878583999995,-5.684341886080802e-14,200.84238957499983,0.0,193.06878583999995,0.0,701.2834513985624,3.9000794642811067,-0.8591464300981346,-0.8482512757251328,4257.541530338889,0.358974358974359,0.6410256410256411,1067.0213,34.7311,32.2696,2742,99.792
2742_5,0.0694999999999999,314.6546335149998,157.25565481499984,157.39897869999984,8.526512829121202e-14,157.25565481499984,0.0,157.39897869999984,0.0,760.2377200081623,4.603447570233137,-0.8857574338094408,0.18184137220547672,5325.562084987231,0.2692307692307692,0.7307692307692307,1058.0327,37.8856,28.5066,2742,99.792
2753_1,0.11109999999999998,260.9453553049999,126.58638574999995,134.35896955499996,0.0,126.58638574999995,0.0,134.35896955499996,0.0,431.34415540362426,4.212436136916107,-0.08961135979302871,-0.5327965380682695,1549.020178148177,0.7317073170731707,0.2682926829268293,869.8785,24.2605,22.8038,2753,84.3696
2753_2,0.11389999999999989,265.22300388999986,127.0906214999999,138.13238238999998,0.0,127.0906214999999,0.0,138.13238238999998,0.0,441.66927885267484,4.306768078332911,-0.09024558243613327,-0.4086116049937527,1582.7008669151262,1.0,0.0,892.4134,23.302,22.0568,2753,84.3696
2753_3,0.11670000000000003,265.6281841500001,126.50238879500007,139.12579535500007,-2.842170943040401e-14,126.50238879500007,0.0,139.12579535500007,0.0,435.67574216500867,4.185165175763358,-0.10565211915153482,-0.6480202897604409,1581.4961132695162,0.7441860465116279,0.2558139534883721,906.1005,25.7115,24.6021,2753,84.3696
2753_4,0.11120000000000019,262.79457181500027,126.2633088950002,136.53126292000013,-5.684341886080802e-14,126.2633088950002,0.0,136.53126292000013,0.0,440.8877739078291,4.308258073892959,-0.10770569925726736,-0.598163944370239,1626.3578955767596,0.7560975609756098,0.24390243902439024,879.0901,22.9046,21.9792,2753,84.3696
2753_5,0.11109999999999998,262.83838263999985,125.71926405999992,137.1191185799999,2.842170943040401e-14,125.71926405999992,0.0,137.1191185799999,0.0,433.1272015621181,4.380506049470479,-0.09207296347323715,-0.4799659343002808,1575.1533757891932,0.7073170731707317,0.2926829268292683,889.5147,23.3818,22.4854,2753,84.3696
2760_1,0.10270000000000001,294.9058471699999,114.192889315,180.71295785499998,-8.526512829121202e-14,114.192889315,0.0,180.71295785499998,0.0,470.78286754180425,4.74841916496734,-0.4114963438404803,-0.24421672402537645,2740.4253083391873,0.34210526315789475,0.6578947368421053,1060.7607,20.3609,19.8533,2760,82.5552
2760_2,0.10549999999999993,301.9183162199999,118.55351366499994,183.36480255499995,0.0,118.55351366499994,0.0,183.36480255499995,0.0,476.4243672345142,4.732981954710475,-0.39964008691343367,-0.4474028913278641,2735.1134185503706,0.3076923076923077,0.6923076923076923,1047.3998,22.6467,22.4215,2760,82.5552
2760_3,0.09720000000000018,294.0982885050002,115.20670990500017,178.89157860000012,-8.526512829121202e-14,115.20670990500017,0.0,178.89157860000012,0.0,503.1534404539799,4.802447578556508,-0.4161851273015357,-0.35403928329789364,2933.580821888292,0.3611111111111111,0.6388888888888888,1029.2647,20.6227,19.5992,2760,82.5552
2760_4,0.10000000000000009,294.7608901450002,116.73860325000007,178.02228689500006,5.684341886080802e-14,116.73860325000007,0.0,178.02228689500006,0.0,491.94151598259606,4.787591427697408,-0.4508248908844864,-0.08413207848002363,2895.8865186600874,0.35135135135135137,0.6486486486486487,1050.8298,21.3596,20.1462,2760,82.5552
2760_5,0.1028,300.28670318500014,117.36482904000005,182.92187414500003,5.684341886080802e-14,117.36482904000005,0.0,182.92187414500003,0.0,498.78114222278964,4.726556899046703,-0.39513011519880087,-0.4029759749882162,2806.364446514834,0.34210526315789475,0.6578947368421053,1084.7454,22.016,21.6105,2760,82.5552
