session,session_mass_kg,pitch_n,fp_mer_duration_s,positive_total_j,gated_stp_j,gated_jfp_j,conservation_error_j,stp_positive_j,stp_negative_j,jfp_positive_j,jfp_negative_j,mean_force_n,mean_shoulder_jc_speed_m_s,mean_force_velocity_alignment,official_jfp_vs_force_velocity_r,official_jfp_force_velocity_mae_w,thorax_limited_fraction,arm_limited_fraction,max_torso_rotational_velo,max_rotation_hip_shoulder_separation,rotation_hip_shoulder_separation_fp
1759,79.38,3,0.09533333333333334,300.2892679916668,125.16290602500005,175.12636196666674,5.684341886080802e-14,125.16290602500005,0.0,175.12636196666674,0.0,496.838032913379,5.009308164781033,-0.6737102428245757,-0.9266191787090627,3535.777020569814,0.2833333333333333,0.7166666666666667,1058.3047666666666,26.644333333333332,24.1354
1778,88.452,2,0.10835,334.470418605,149.290499225,185.17991938,4.263256414560601e-14,149.290499225,0.0,185.2815420275,-0.10162264750000014,573.3140104128452,4.036486381442547,-0.5404984478136496,-0.8625715996066892,3054.7285671341488,0.1629143214509068,0.8370856785490932,1167.39165,38.944,36.102050000000006
1779,103.4208,3,0.125,415.131643835,210.4434835366666,204.68816029833337,-2.842170943040401e-14,210.4434835366666,0.0,204.68816029833337,0.0,597.4557118642147,4.594547160805559,-0.07265277138956734,-0.2686000075981033,2208.7220455690244,0.42679512516469037,0.5732048748353096,1012.9873333333334,29.691633333333332,29.60806666666667
1782,97.524,4,0.09237499999999993,259.7387585187499,116.78289639624992,142.95586212249998,7.105427357601002e-15,116.78289639624992,0.0,143.15637558249998,-0.20051345999999748,652.3072810868998,4.366828212640062,0.14399125577335115,0.054390206399685954,1417.23910132723,0.22690136660724897,0.773098633392751,979.482825,22.6653,20.2898
1783,90.2664,4,0.14375000000000002,313.48641014500004,144.07458482125003,169.41182532375,-7.105427357601002e-15,144.07458482125003,0.0,170.7178443125,-1.3060189887500009,437.53763387977625,3.8261694899381373,-0.456446721955253,-0.9440942372308494,2148.5162219140493,0.09007619738751815,0.9099238026124818,1026.91245,28.02245,27.6154
1808,98.4312,5,0.07946,268.07183364599996,114.54493557400001,153.526898072,-5.684341886080802e-15,114.54493557400001,0.0,153.526898072,0.0,713.7822003731202,4.492842219674841,-0.759967566523176,0.30028355872293433,4313.597769713656,0.1735117208420879,0.826488279157912,1093.74932,26.59408,15.79192
1826,91.1736,5,0.11054,359.310647462,137.421478972,221.88916849000003,1.7053025658242404e-14,137.421478972,0.0,222.19869305000003,-0.30952455999999595,585.1038011461562,4.492329664048368,-0.6793739205691738,-0.8212402855903349,3867.203354797578,0.44028796466492376,0.5597120353350762,1198.62454,34.40388,33.30126
1830,84.3696,5,0.11390000000000007,283.05354248000015,135.77754271500007,147.27599976500002,-5.684341886080802e-15,135.77754271500007,0.0,147.27599976500002,0.0,496.94632804009524,3.8567476896181647,-0.4805978675898741,-0.8470816353212495,2378.981567205329,0.4848892580287929,0.5151107419712071,973.7413399999999,23.590619999999998,22.29306
1845,92.5344,3,0.0972,287.70844685499986,109.75077356166662,177.95767329333327,-9.473903143468002e-15,109.75077356166662,0.0,181.2406897066666,-3.283016413333339,520.8344773854307,4.638480569792894,-0.48119057345951316,-0.9204466076559049,3239.8548712407523,0.4829218829218829,0.5170781170781171,1029.4023,40.466633333333334,35.0722
2653,77.112,5,0.10108000000000002,285.23287667700004,129.80348905000002,155.42938762700004,-1.7053025658242404e-14,129.80348905000002,0.0,158.15325894600002,-2.7238713190000032,514.940280610112,4.69105094283581,-0.3005647319001693,-0.7144050357776287,2831.0043877588164,0.1320523154733681,0.8679476845266318,1086.03392,35.61974,35.52734
